    PID    PPID COMMAND         COMMAND
    151       2 kworker/R-ipv6_ [kworker/R-ipv6_addrconf]
    152       2 kworker/3:1H-i9 [kworker/3:1H-i915_cleanup]
    153       2 kworker/R-kstrp [kworker/R-kstrp]
    230       2 kworker/0:1H-kb [kworker/0:1H-kblockd]
    231       2 kworker/7:1H-kb [kworker/7:1H-kblockd]
    269       2 kworker/1:1H-kb [kworker/1:1H-kblockd]
    270       2 kworker/6:1H-kb [kworker/6:1H-kblockd]
    282       2 kworker/5:1H-kb [kworker/5:1H-kblockd]
    433       2 irq/109-ASUE140 [irq/109-ASUE1407:00]
    441       2 kworker/R-nvme- [kworker/R-nvme-wq]
    442       2 kworker/R-nvme- [kworker/R-nvme-reset-wq]
    443       2 kworker/R-nvme- [kworker/R-nvme-delete-wq]
    444       2 kworker/R-nvme- [kworker/R-nvme-auth-wq]
    456       2 kworker/R-btrfs [kworker/R-btrfs-worker]
    457       2 kworker/R-btrfs [kworker/R-btrfs-delalloc]
    458       2 kworker/R-btrfs [kworker/R-btrfs-flush_delalloc]
    459       2 kworker/R-btrfs [kworker/R-btrfs-cache]
    460       2 kworker/R-btrfs [kworker/R-btrfs-fixup]
    461       2 kworker/R-btrfs [kworker/R-btrfs-endio]
    462       2 kworker/R-btrfs [kworker/R-btrfs-endio-meta]
    463       2 kworker/R-btrfs [kworker/R-btrfs-rmw]
    464       2 kworker/R-btrfs [kworker/R-btrfs-endio-write]
    465       2 kworker/R-btrfs [kworker/R-btrfs-freespace-write]
    466       2 kworker/R-btrfs [kworker/R-btrfs-delayed-meta]
    467       2 kworker/R-btrfs [kworker/R-btrfs-qgroup-rescan]
    468       2 btrfs-cleaner   [btrfs-cleaner]
    469       2 btrfs-transacti [btrfs-transaction]
    497       2 kworker/R-ttm   [kworker/R-ttm]
    498       2 kworker/R-ttm   [kworker/R-ttm]
    499       2 card2-crtc0     [card2-crtc0]
    500       2 card2-crtc1     [card2-crtc1]
    501       2 card2-crtc2     [card2-crtc2]
    562       2 psimon          [psimon]
    573       1 systemd-journal /usr/lib/systemd/systemd-journald
    605       1 systemd-userdbd /usr/lib/systemd/systemd-userdbd
    609       2 psimon          [psimon]
    613       1 systemd-udevd   /usr/lib/systemd/systemd-udevd
    620       2 psimon          [psimon]
    662       2 kworker/R-kmems [kworker/R-kmemstick]
    715       2 kworker/R-cfg80 [kworker/R-cfg80211]
    718       2 irq/154-iwlwifi [irq/154-iwlwifi:default_queue]
    719       2 irq/155-iwlwifi [irq/155-iwlwifi:queue_1]
