F1-STATE tx=-5393740.5000 ty=28259.5332 tz=4360945.5000 cont="game-start"
F1-STATE tx=-5388615.5000 ty=38423.9765 tz=4376840.0000 cont="training-start"
F1-STATE tx=-5393016.5000 ty=28329.8339 tz=4363198.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
F1-STATE tx=-5393129.0000 ty=28317.4628 tz=4362849.5000 cont="training-start"
