scenario,contact,vertex,component,historical,instrumented,historical_bits,instrumented_bits
7,0,0,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,1,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,2,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,3,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,4,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,5,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,6,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,7,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,8,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,0,9,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,0,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,1,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,2,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,3,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,4,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,5,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,6,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,7,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,8,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
7,1,9,alpha,0.31290191411972046,0.3129018545150757,ae34a03e,ac34a03e
