course	duration_s	frames	crash	ao_geom_tie_cover_px	ao_geom_tie_absent_px	ao_geom_tie_absent_inner_px	ao_static_defects	ao_high_not_fullres	ao_pattern_over_ceiling	ao_on_alpha_device_px	ao_direct_leak_px	ao_contact_band_px	ao_tie_color_changed_px	ao_tie_color_tie_changed_px	ao_tie_color_missing	ao_tie_prepass_defects
01-village1-hut-reference	137	1680	0	87225	199	133	1	0	0	0	0	0	non-mesure	non-mesure	reference_only_comparison_pending	7
02-village1-hut-off	137	1740	0	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	903	2	none	910
03-village1-hut-comparison	137	1740	0	87027	0	0	0	0	0	0	0	0	906	2	none	909
04-village1-out-reference	137	1620	0	72557	0	0	269344	0	1	2	17821	6	non-mesure	non-mesure	reference_only_comparison_pending	910
05-village1-out-off	136	1680	0	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	90534	105	none	91547
06-village1-out-comparison	137	1620	0	73121	0	0	260450	0	1	3	6459	6	91030	139	none	358465
07-beach-reference	136	1380	0	144825	6	1	872	0	0	7	12	0	non-mesure	non-mesure	non-mesure	358466
08-beach-off	136	1380	0	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	non-mesure	358466
09-beach-comparison	146	1500	0	145801	0	0	832	0	0	10	0	0	non-mesure	non-mesure	reference_absent_truncated_or_identity_mismatch	359306
