rel_frame,dpos,drot,x86_lvl,arm_lvl
179,482.3,0.11657,misty,misty
180,413.3,0.11657,misty,misty
181,454.5,0.11657,misty,misty
182,385.8,0.11657,misty,misty
183,427.0,0.11657,misty,misty
184,358.1,0.11657,misty,misty
185,454.8,0.11657,misty,misty
186,495.9,0.11657,misty,misty
187,427.1,0.11657,misty,misty
188,468.4,0.11657,misty,misty
189,399.5,0.11657,misty,misty
190,440.8,0.11657,misty,misty
191,372.0,0.11657,misty,misty
192,468.3,0.11657,misty,misty
193,509.5,0.11657,misty,misty
194,440.9,0.11657,misty,misty
195,482.1,0.11657,misty,misty
196,413.3,0.11657,misty,misty
197,454.5,0.11657,misty,misty
198,385.8,0.11657,misty,misty
199,482.0,0.11657,misty,misty
200,358.1,0.11657,misty,misty
201,454.5,0.11657,misty,misty
202,495.8,0.11657,misty,misty
203,427.1,0.11657,misty,misty
204,468.4,0.11657,misty,misty
205,399.4,0.11657,misty,misty
206,495.9,0.11657,misty,misty
207,372.0,0.11657,misty,misty
208,468.3,0.11657,misty,misty
209,509.8,0.11657,misty,misty
210,440.8,0.11657,misty,misty
211,537.3,0.11657,misty,misty
212,413.1,0.11657,misty,misty
213,509.8,0.11657,misty,misty
214,385.8,0.11657,misty,misty
215,482.1,0.11657,misty,misty
216,414.3,0.11657,misty,misty
217,458.5,0.11657,misty,misty
218,557.0,0.11657,misty,misty
219,431.6,0.11657,misty,misty
220,529.0,0.11657,misty,misty
221,403.9,0.11657,misty,misty
222,501.2,0.11657,misty,misty
223,431.8,0.11657,misty,misty
224,473.5,0.11657,misty,misty
225,571.0,0.11657,misty,misty
226,445.5,0.11657,misty,misty
227,543.0,0.11657,misty,misty
228,417.8,0.11657,misty,misty
229,515.3,0.11657,misty,misty
230,445.5,0.11657,misty,misty
231,487.3,0.11657,misty,misty
232,417.8,0.11657,misty,misty
233,459.5,0.11657,misty,misty
234,556.9,0.11657,misty,misty
235,431.8,0.11657,misty,misty
236,529.3,0.11657,misty,misty
237,459.5,0.11657,misty,misty
238,501.3,0.11657,misty,misty
239,431.6,0.11657,misty,misty
240,473.4,0.11657,misty,misty
241,570.9,0.11657,misty,misty
242,501.3,0.11657,misty,misty
243,543.0,0.11657,misty,misty
244,473.4,0.11657,misty,misty
245,515.1,0.11657,misty,misty
246,445.6,0.11657,misty,misty
247,487.4,0.11657,misty,misty
248,417.8,0.11657,misty,misty
249,515.3,0.11657,misty,misty
250,557.0,0.11657,misty,misty
251,487.3,0.11657,misty,misty
252,529.1,0.11657,misty,misty
253,459.6,0.11657,misty,misty
254,501.4,0.11657,misty,misty
255,598.8,0.11657,misty,misty
256,529.1,0.11657,misty,misty
257,570.9,0.11657,misty,misty
258,501.1,0.11657,misty,misty
259,543.0,0.11657,misty,misty
260,473.5,0.11657,misty,misty
261,515.3,0.11657,misty,misty
262,445.5,0.11657,misty,misty
263,543.0,0.11657,misty,misty
264,584.9,0.11657,misty,misty
265,515.1,0.11657,misty,misty
266,557.0,0.11657,misty,misty
267,487.4,0.11657,misty,misty
268,584.8,0.11657,misty,misty
269,459.5,0.11657,misty,misty
270,557.0,0.11657,misty,misty
271,431.6,0.11657,misty,misty
272,529.1,0.11657,misty,misty
273,571.0,0.11657,misty,misty
274,501.3,0.11657,misty,misty
275,598.8,0.11657,misty,misty
276,473.3,0.11657,misty,misty
277,682.2,0.11657,misty,misty
278,779.8,0.11657,misty,misty
279,710.3,0.11657,misty,misty
280,752.0,0.11657,misty,misty
281,849.4,0.11657,misty,misty
282,724.0,0.11657,misty,misty
283,821.6,0.11657,misty,misty
284,696.1,0.11657,misty,misty
285,793.6,0.11657,misty,misty
286,724.0,0.11657,misty,misty
287,765.8,0.11657,misty,misty
288,863.4,0.11657,misty,misty
289,738.0,0.11657,misty,misty
290,835.4,0.11657,misty,misty
291,765.9,0.11657,misty,misty
292,807.6,0.11657,misty,misty
293,738.0,0.11657,misty,misty
294,779.8,0.11657,misty,misty
295,710.1,0.11657,misty,misty
296,751.9,0.11657,misty,misty
297,849.4,0.11657,misty,misty
298,779.8,0.11657,misty,misty
299,821.5,0.11657,misty,misty
300,751.9,0.11657,misty,misty
301,793.7,0.11657,misty,misty
302,891.3,0.11657,misty,misty
303,765.7,0.11657,misty,misty
304,863.4,0.11657,misty,misty
305,793.8,0.11657,misty,misty
306,835.4,0.11657,misty,misty
307,765.8,0.11657,misty,misty
308,807.6,0.11657,misty,misty
309,738.0,0.11657,misty,misty
310,779.8,0.11657,misty,misty
311,877.3,0.11657,misty,misty
312,807.5,0.11657,misty,misty
313,849.3,0.11657,misty,misty
314,779.8,0.11657,misty,misty
315,821.6,0.11657,misty,misty
316,752.0,0.11657,misty,misty
317,793.6,0.11657,misty,misty
318,724.0,0.11657,misty,misty
319,826.9,0.11657,misty,misty
320,704.9,0.11657,misty,misty
321,808.4,0.11657,misty,misty
