# SECTION A — collision-realistic float->int conversion sweep (60000 inputs)
# idx  in(hex)         scalar_out(hex16)   class
A7378   55f7fd6c        000000007fffffff  +ovf
A7379   56071c2e        000000007fffffff  +ovf
A7380   53b96c07        000000007fffffff  +ovf
A7381   4c176a97        00000000025daa5c  rng
A7382   4123924e        000000000000000a  rng
A7383   4431ccc6        00000000000002c7  rng
A7384   ca9b9bc8        ffffffffffb2321c  rng
A7385   4e92beda        00000000495f6d00  rng
A7386   54b21a6f        000000007fffffff  +ovf
A7387   5608546f        000000007fffffff  +ovf
A7388   53c43e26        000000007fffffff  +ovf
A7389   4b8fa686        00000000011f4d0c  rng
A7390   bf32376b        0000000000000000  rng
A7391   c300dfb8        ffffffffffffff80  rng
A7392   4af2d188        00000000007968c4  rng
A7393   4ed26af6        0000000069357b00  rng
A7394   5500f8de        000000007fffffff  +ovf
A7395   560a2670        000000007fffffff  +ovf
A7396   53300075        000000007fffffff  +ovf
A7397   caacc4e4        ffffffffffa99d8e  rng
A7398   c0a2512d        fffffffffffffffb  rng
A7399   444fcd42        000000000000033f  rng
A7400   4a70be10        00000000003c2f84  rng
A7401   ceec2dd3        ffffffff89e91680  rng
A7402   5513c25d        000000007fffffff  +ovf
A7403   5493b3bf        000000007fffffff  +ovf
A7404   543eae2e        000000007fffffff  +ovf
A7405   4b7f57cd        0000000000ff57cd  rng
A7406   3f7df24e        0000000000000000  rng
A7407   c47307c8        fffffffffffffc34  rng
A7408   ca8a758c        ffffffffffbac53a  rng
A7409   4ea78c96        0000000053c64b00  rng
A7410   512b06c2        000000007fffffff  +ovf
A7411   560935b3        000000007fffffff  +ovf
A7412   544ff8e9        000000007fffffff  +ovf
A7413   ca7e248e        ffffffffffc076dd  rng
A7414   408b4a0a        0000000000000004  rng
A7415   42543320        0000000000000035  rng
A7416   cae94428        ffffffffff8b5dec  rng
A7417   cecd5cc6        ffffffff99519d00  rng
A7418   55b02dcd        000000007fffffff  +ovf
A7419   53de6ad4        000000007fffffff  +ovf
A7420   7fc00000        0000000000000000  NaN
A7421   cb80cbe6        fffffffffefe6834  rng
A7422   bf120aa6        0000000000000000  rng
A7423   445f4afa        000000000000037d  rng
A7424   cac5c1fe        ffffffffff9d1f01  rng
A7425   4e3bd5e4        000000002ef57900  rng
A7426   566362cf        000000007fffffff  +ovf
A7427   55e1dc71        000000007fffffff  +ovf
A7428   53adb275        000000007fffffff  +ovf
A7429   4a9b45f2        00000000004da2f9  rng
A7430   bf852293        ffffffffffffffff  rng
A7431   4431f84c        00000000000002c7  rng
A7432   ca797f3d        ffffffffffc1a031  rng
A7433   ccc81c60        fffffffff9bf1d00  rng
A7434   538ed666        000000007fffffff  +ovf
A7435   5658a423        000000007fffffff  +ovf
A7436   5298ce99        000000007fffffff  +ovf
A7437   ca961b24        ffffffffffb4f26e  rng
A7438   c2a4312d        ffffffffffffffae  rng
A7439   c3fdbf89        fffffffffffffe05  rng
A7440   49145cd0        00000000000945cd  rng
A7441   ce57a62e        ffffffffca167480  rng
A7442   5584e8e0        000000007fffffff  +ovf
A7443   54b684d0        000000007fffffff  +ovf
A7444   5322df41        000000007fffffff  +ovf
A7445   cb35c5a1        ffffffffff4a3a5f  rng
A7446   bf46a247        0000000000000000  rng
A7447   43ba2818        0000000000000174  rng
A7448   49d22680        00000000001a44d0  rng
A7449   4e41b42c        00000000306d0b00  rng
A7450   5653882c        000000007fffffff  +ovf
A7451   55206a1e        000000007fffffff  +ovf
A7452   52b60f16        000000007fffffff  +ovf
A7453   48b5aefd        000000000005ad77  rng
A7454   be53761b        0000000000000000  rng
A7455   c42b4ba5        fffffffffffffd53  rng
A7456   ca93de84        ffffffffffb610be  rng
A7457   4edf99dc        000000006fccee00  rng
A7458   55a7d9dd        000000007fffffff  +ovf
A7459   549155f0        000000007fffffff  +ovf
A7460   52db6974        000000007fffffff  +ovf
A7461   4af9fe75        00000000007cff3a  rng
A7462   bfb33c40        ffffffffffffffff  rng
A7463   43bd3a08        000000000000017a  rng
A7464   c8ebc7b0        fffffffffff8a1c3  rng
A7465   4e5b4090        0000000036d02400  rng
A7466   56493c91        000000007fffffff  +ovf
A7467   521ab1f9        000000007fffffff  +ovf
A7468   52d0a1d0        000000007fffffff  +ovf
A7469   7f800000        000000007fffffff  Inf
A7470   3fc3ebd4        0000000000000001  rng
A7471   443c53e0        00000000000002f1  rng
A7472   ca97c2d7        ffffffffffb41e95  rng
A7473   7fc00000        0000000000000000  NaN
A7474   ff800000        ffffffff80000000  Inf
A7475   54bb3748        000000007fffffff  +ovf
A7476   53573254        000000007fffffff  +ovf
A7477   4b51ce56        0000000000d1ce56  rng
A7478   bf7fe8dc        0000000000000000  rng
A7479   c47746f1        fffffffffffffc23  rng
A7480   4a91100a        0000000000488805  rng
A7481   4e4528cc        00000000314a3300  rng
A7482   52961c2c        000000007fffffff  +ovf
A7483   53839b6a        000000007fffffff  +ovf
A7484   5395edbd        000000007fffffff  +ovf
A7485   c9221918        fffffffffff5de6f  rng
A7486   3f1be9db        0000000000000000  rng
A7487   445240fe        0000000000000349  rng
A7488   ca04aee2        ffffffffffded448  rng
A7489   4df96ab0        000000001f2d5600  rng
A7490   561d8e00        000000007fffffff  +ovf
A7491   55218dab        000000007fffffff  +ovf
A7492   533b690d        000000007fffffff  +ovf
A7493   cb5ad779        ffffffffff252887  rng
A7494   3f9be571        0000000000000001  rng
A7495   44538e5a        000000000000034e  rng
A7496   c9955b90        ffffffffffed548e  rng
A7497   ceeff9e4        ffffffff88030e00  rng
A7498   5640d66d        000000007fffffff  +ovf
A7499   537fe831        000000007fffffff  +ovf
A7500   527c4028        000000007fffffff  +ovf
A7501   cb5ca6d8        ffffffffff235928  rng
A7502   426f70ab        000000000000003b  rng
A7503   4459226c        0000000000000364  rng
A7504   cab606ba        ffffffffffa4fca3  rng
A7505   4c0c8f00        0000000002323c00  rng
A7506   5403f375        000000007fffffff  +ovf
A7507   55ab4658        000000007fffffff  +ovf
A7508   511e9c04        000000007fffffff  +ovf
A7509   c95023c0        fffffffffff2fdc4  rng
A7510   c037a601        fffffffffffffffe  rng
A7511   444b9484        000000000000032e  rng
A7512   49f04558        00000000001e08ab  rng
A7513   cedf2986        ffffffff906b3d00  rng
A7514   550efd44        000000007fffffff  +ovf
A7515   53a6f04a        000000007fffffff  +ovf
A7516   5369167a        000000007fffffff  +ovf
A7517   cb2d68d5        ffffffffff52972b  rng
A7518   4083e443        0000000000000004  rng
A7519   42634980        0000000000000038  rng
A7520   ca1209ca        ffffffffffdb7d8e  rng
A7521   ceef2dbf        ffffffff88692080  rng
A7522   55b68b8f        000000007fffffff  +ovf
A7523   55069a09        000000007fffffff  +ovf
A7524   55106dd3        000000007fffffff  +ovf
A7525   4b0a934e        00000000008a934e  rng
A7526   7fc00000        0000000000000000  NaN
A7527   445f7896        000000000000037d  rng
A7528   c8499620        fffffffffffcd9a8  rng
A7529   ce0f4608        ffffffffdc2e7e00  rng
A7530   53899c48        000000007fffffff  +ovf
A7531   525f23eb        000000007fffffff  +ovf
A7532   51a61b4a        000000007fffffff  +ovf
A7533   49f87318        00000000001f0e63  rng
A7534   3eed5cd4        0000000000000000  rng
A7535   c4312ddb        fffffffffffffd3c  rng
A7536   c9d35360        ffffffffffe59594  rng
A7537   cef5bf94        ffffffff85203600  rng
A7538   561553c1        000000007fffffff  +ovf
A7539   565b9688        000000007fffffff  +ovf
A7540   549ec59c        000000007fffffff  +ovf
A7541   49c87f33        0000000000190fe6  rng
A7542   bf257f1f        0000000000000000  rng
A7543   c413918e        fffffffffffffdb2  rng
A7544   ca192e78        ffffffffffd9b462  rng
A7545   4ecd34dc        00000000669a6e00  rng
A7546   513e68a5        000000007fffffff  +ovf
A7547   55458b4b        000000007fffffff  +ovf
A7548   52b962ce        000000007fffffff  +ovf
A7549   4b72debb        0000000000f2debb  rng
A7550   c15a56d8        fffffffffffffff3  rng
A7551   44039fb4        000000000000020e  rng
A7552   496e3da0        00000000000ee3da  rng
A7553   cda1fe50        ffffffffebc03600  rng
A7554   5424a837        000000007fffffff  +ovf
A7555   555cb85f        000000007fffffff  +ovf
A7556   53a043e2        000000007fffffff  +ovf
A7557   cb050507        ffffffffff7afaf9  rng
A7558   c1114b05        fffffffffffffff7  rng
A7559   c4785623        fffffffffffffc1f  rng
A7560   c92ab4e0        fffffffffff554b2  rng
A7561   ceef06ec        ffffffff887c8a00  rng
A7562   5639ee35        000000007fffffff  +ovf
A7563   55387123        000000007fffffff  +ovf
A7564   5339106b        000000007fffffff  +ovf
A7565   c9f7ca55        ffffffffffe106b6  rng
A7566   7f800000        000000007fffffff  Inf
A7567   441b7942        000000000000026d  rng
A7568   c9a2abd4        ffffffffffebaa86  rng
A7569   cdff2d6c        ffffffffe01a5280  rng
A7570   55638ff2        000000007fffffff  +ovf
A7571   560c4a85        000000007fffffff  +ovf
A7572   55e9743f        000000007fffffff  +ovf
A7573   4a9ead5b        00000000004f56ad  rng
A7574   c00c5483        fffffffffffffffe  rng
A7575   ff800000        ffffffff80000000  Inf
A7576   c8d35af0        fffffffffff96529  rng
A7577   4ee28770        000000007143b800  rng
A7578   565e3825        000000007fffffff  +ovf
A7579   7fc00000        0000000000000000  NaN
A7580   5323848b        000000007fffffff  +ovf
A7581   cab9cf51        ffffffffffa31858  rng
A7582   be9f1647        0000000000000000  rng
A7583   c400811e        fffffffffffffdfe  rng
A7584   4ab0e8be        000000000058745f  rng
A7585   cee3d59e        ffffffff8e153100  rng
A7586   50d3bec3        000000007fffffff  +ovf
A7587   55579750        000000007fffffff  +ovf
A7588   531e250b        000000007fffffff  +ovf
A7589   4b81fe57        000000000103fcae  rng
A7590   bdde5c3c        0000000000000000  rng
A7591   c4738e5c        fffffffffffffc32  rng
A7592   47710f80        000000000000f10f  rng
A7593   4ece8448        0000000067422400  rng
A7594   556f82ec        000000007fffffff  +ovf
A7595   5344da47        000000007fffffff  +ovf
A7596   540eed71        000000007fffffff  +ovf
A7597   4b9a8234        0000000001350468  rng
A7598   bf92761a        ffffffffffffffff  rng
A7599   c42adc9c        fffffffffffffd55  rng
A7600   cab58ad0        ffffffffffa53a98  rng
A7601   ced6b100        ffffffff94a78000  rng
A7602   56535b8a        000000007fffffff  +ovf
A7603   542fbc9a        000000007fffffff  +ovf
A7604   55128e1e        000000007fffffff  +ovf
A7605   4b00812e        000000000080812e  rng
A7606   bf5bc6cb        0000000000000000  rng
A7607   43a86e7c        0000000000000150  rng
A7608   ca9d2316        ffffffffffb16e75  rng
A7609   cecdf5d9        ffffffff99051380  rng
A7610   5508f4b9        000000007fffffff  +ovf
A7611   56273ce8        000000007fffffff  +ovf
A7612   5455eea0        000000007fffffff  +ovf
A7613   4a45712b        0000000000315c4a  rng
A7614   3fa5f61e        0000000000000001  rng
A7615   43c98110        0000000000000193  rng
A7616   4a1c9fa0        00000000002727e8  rng
A7617   ceee2c08        ffffffff88e9fc00  rng
A7618   558a11e9        000000007fffffff  +ovf
A7619   5482d27c        000000007fffffff  +ovf
A7620   50ea3a05        000000007fffffff  +ovf
A7621   4a272a41        000000000029ca90  rng
A7622   c071005d        fffffffffffffffd  rng
A7623   c3e3e824        fffffffffffffe39  rng
A7624   49727b90        00000000000f27b9  rng
A7625   ceaad724        ffffffffaa946e00  rng
A7626   54bcc115        000000007fffffff  +ovf
A7627   5657c4c7        000000007fffffff  +ovf
A7628   534572b6        000000007fffffff  +ovf
A7629   4b29b258        0000000000a9b258  rng
A7630   bf23ac1a        0000000000000000  rng
A7631   43299cb0        00000000000000a9  rng
A7632   7fc00000        0000000000000000  NaN
A7633   ce9cb347        ffffffffb1a65c80  rng
A7634   565dbd46        000000007fffffff  +ovf
A7635   53f84f68        000000007fffffff  +ovf
A7636   53c26405        000000007fffffff  +ovf
A7637   cb226c0e        ffffffffff5d93f2  rng
A7638   3f094ef1        0000000000000000  rng
A7639   43a294f8        0000000000000145  rng
A7640   4a0ca550        0000000000232954  rng
A7641   4e6bafdc        000000003aebf700  rng
A7642   54863e81        000000007fffffff  +ovf
A7643   5596e747        000000007fffffff  +ovf
A7644   534524dc        000000007fffffff  +ovf
A7645   48dc12eb        000000000006e097  rng
A7646   bfecf1c1        ffffffffffffffff  rng
A7647   c4728f65        fffffffffffffc36  rng
A7648   4a6cfee8        00000000003b3fba  rng
A7649   4ec92bac        000000006495d600  rng
A7650   539f92b5        000000007fffffff  +ovf
A7651   565768c4        000000007fffffff  +ovf
A7652   53062eb1        000000007fffffff  +ovf
A7653   4b19d862        000000000099d862  rng
A7654   4004a29d        0000000000000002  rng
A7655   c461d749        fffffffffffffc79  rng
A7656   4a9477da        00000000004a3bed  rng
A7657   ce9b8e5f        ffffffffb238d080  rng
A7658   5583884e        000000007fffffff  +ovf
A7659   54e56a6f        000000007fffffff  +ovf
A7660   5420e31b        000000007fffffff  +ovf
A7661   cb02713b        ffffffffff7d8ec5  rng
A7662   3e8bfb86        0000000000000000  rng
A7663   7f800000        000000007fffffff  Inf
A7664   cae57fe5        ffffffffff8d400e  rng
A7665   4da59af8        0000000014b35f00  rng
A7666   54545eeb        000000007fffffff  +ovf
A7667   53d6be74        000000007fffffff  +ovf
A7668   5432829f        000000007fffffff  +ovf
A7669   4cf3ce09        00000000079e7048  rng
A7670   bf24e100        0000000000000000  rng
A7671   c2bd5f50        ffffffffffffffa2  rng
A7672   48da6120        000000000006d309  rng
A7673   4e961700        000000004b0b8000  rng
A7674   5618017b        000000007fffffff  +ovf
A7675   55a74fef        000000007fffffff  +ovf
A7676   ff800000        ffffffff80000000  Inf
A7677   4b463c98        0000000000c63c98  rng
A7678   bf936b6c        ffffffffffffffff  rng
A7679   4478ed26        00000000000003e3  rng
A7680   4a387214        00000000002e1c85  rng
A7681   4d2fa0d0        000000000afa0d00  rng
A7682   53bc42c0        000000007fffffff  +ovf
A7683   5179ecd6        000000007fffffff  +ovf
A7684   543331de        000000007fffffff  +ovf
A7685   7fc00000        0000000000000000  NaN
A7686   be30a81a        0000000000000000  rng
A7687   c3d0d310        fffffffffffffe5f  rng
A7688   4a975f0c        00000000004baf86  rng
A7689   4eee0066        0000000077003300  rng
A7690   559e5ba6        000000007fffffff  +ovf
A7691   55e6253d        000000007fffffff  +ovf
A7692   52dbb520        000000007fffffff  +ovf
A7693   49e7b161        00000000001cf62c  rng
A7694   404c9331        0000000000000003  rng
A7695   c409eb20        fffffffffffffdd9  rng
A7696   ca1f3e60        ffffffffffd83068  rng
A7697   4e87428a        0000000043a14500  rng
A7698   53ca3108        000000007fffffff  +ovf
A7699   55997791        000000007fffffff  +ovf
A7700   52b4e8f4        000000007fffffff  +ovf
A7701   ca6844ed        ffffffffffc5eec5  rng
A7702   3f5ad31e        0000000000000000  rng
A7703   c46065f4        fffffffffffffc7f  rng
A7704   c9c33220        ffffffffffe799bc  rng
A7705   4dc7c1d8        0000000018f83b00  rng
A7706   50bca1f6        000000007fffffff  +ovf
A7707   5656e4c4        000000007fffffff  +ovf
A7708   54169823        000000007fffffff  +ovf
A7709   4b831dfd        0000000001063bfa  rng
A7710   bf305802        0000000000000000  rng
A7711   4448eaee        0000000000000323  rng
A7712   4a7db768        00000000003f6dda  rng
A7713   4ee5494c        0000000072a4a600  rng
A7714   55e76c69        000000007fffffff  +ovf
A7715   56614057        000000007fffffff  +ovf
A7716   5408d604        000000007fffffff  +ovf
A7717   4b26bcdb        0000000000a6bcdb  rng
A7718   c0407d50        fffffffffffffffd  rng
A7719   43e59df4        00000000000001cb  rng
A7720   4779f880        000000000000f9f8  rng
A7721   ce85bff8        ffffffffbd200400  rng
A7722   55eb0e22        000000007fffffff  +ovf
A7723   53e292a2        000000007fffffff  +ovf
A7724   54256d9f        000000007fffffff  +ovf
A7725   4b12062a        000000000092062a  rng
A7726   bf9982b5        ffffffffffffffff  rng
A7727   c463b2f3        fffffffffffffc72  rng
A7728   4af33174        00000000007998ba  rng
A7729   cda49854        ffffffffeb6cf580  rng
A7730   5610ff1d        000000007fffffff  +ovf
A7731   53c99b41        000000007fffffff  +ovf
A7732   5296da8e        000000007fffffff  +ovf
A7733   cb96827a        fffffffffed2fb0c  rng
A7734   3f40d3a0        0000000000000000  rng
A7735   c4655bfc        fffffffffffffc6b  rng
A7736   ca68e703        ffffffffffc5c640  rng
A7737   4efb1990        000000007d8cc800  rng
A7738   7fc00000        0000000000000000  NaN
A7739   55c994aa        000000007fffffff  +ovf
A7740   56f74899        000000007fffffff  +ovf
A7741   4b4a6d20        0000000000ca6d20  rng
A7742   be48291e        0000000000000000  rng
A7743   c323101c        ffffffffffffff5d  rng
A7744   ca3040b4        ffffffffffd3efd3  rng
A7745   cef298d4        ffffffff86b39600  rng
A7746   542f62d2        000000007fffffff  +ovf
A7747   5483df4f        000000007fffffff  +ovf
A7748   540e85be        000000007fffffff  +ovf
A7749   ca485ff8        ffffffffffcde802  rng
A7750   3f2f0754        0000000000000000  rng
A7751   444e6756        0000000000000339  rng
A7752   4a35ed38        00000000002d7b4e  rng
A7753   cdd3f044        ffffffffe581f780  rng
A7754   5582306c        000000007fffffff  +ovf
A7755   560a4b94        000000007fffffff  +ovf
A7756   5322fe25        000000007fffffff  +ovf
A7757   cbb46691        fffffffffe9732de  rng
A7758   3f952648        0000000000000001  rng
A7759   c4078fd9        fffffffffffffde2  rng
A7760   7f800000        000000007fffffff  Inf
A7761   cec3cd08        ffffffff9e197c00  rng
A7762   546e2b1f        000000007fffffff  +ovf
A7763   559bd1ca        000000007fffffff  +ovf
A7764   5581d63d        000000007fffffff  +ovf
A7765   4b1e4409        00000000009e4409  rng
A7766   4098f50c        0000000000000004  rng
A7767   c3879bea        fffffffffffffef1  rng
A7768   49a14a88        0000000000142951  rng
A7769   4efdfee4        000000007eff7200  rng
A7770   563ce7ef        000000007fffffff  +ovf
A7771   563febda        000000007fffffff  +ovf
A7772   54620c2b        000000007fffffff  +ovf
A7773   cca7636b        fffffffffac4e4a8  rng
A7774   bf55afc4        0000000000000000  rng
A7775   42f82df0        000000000000007c  rng
A7776   c9635250        fffffffffff1cadb  rng
A7777   ff800000        ffffffff80000000  Inf
A7778   54d1f332        000000007fffffff  +ovf
A7779   5617a0c5        000000007fffffff  +ovf
A7780   53a33a07        000000007fffffff  +ovf
A7781   cb7aa530        ffffffffff055ad0  rng
A7782   be1956de        0000000000000000  rng
A7783   43c4c598        0000000000000189  rng
A7784   ca017b36        ffffffffffdfa133  rng
A7785   ce8904f0        ffffffffbb7d8800  rng
A7786   5589fdf0        000000007fffffff  +ovf
A7787   565d0d9e        000000007fffffff  +ovf
A7788   52b23552        000000007fffffff  +ovf
A7789   4b5998a8        0000000000d998a8  rng
A7790   3f3a524d        0000000000000000  rng
A7791   7fc00000        0000000000000000  NaN
A7792   ca6a9b51        ffffffffffc5592c  rng
A7793   4e8b3ff8        00000000459ffc00  rng
A7794   5666ce38        000000007fffffff  +ovf
A7795   55a547fb        000000007fffffff  +ovf
A7796   52e444e7        000000007fffffff  +ovf
A7797   cad5f107        ffffffffff95077d  rng
A7798   bf480127        0000000000000000  rng
A7799   444bae1e        000000000000032e  rng
A7800   4a950584        00000000004a82c2  rng
A7801   ce6452a2        ffffffffc6eb5780  rng
A7802   52fe49d1        000000007fffffff  +ovf
A7803   544e96e4        000000007fffffff  +ovf
A7804   52e65c28        000000007fffffff  +ovf
A7805   4aef94f9        000000000077ca7c  rng
A7806   403c1bd6        0000000000000002  rng
A7807   c3e2518a        fffffffffffffe3c  rng
A7808   caac9a8a        ffffffffffa9b2bb  rng
A7809   ce1e47b6        ffffffffd86e1280  rng
A7810   563d48d3        000000007fffffff  +ovf
A7811   528f7cf1        000000007fffffff  +ovf
A7812   546cf2df        000000007fffffff  +ovf
A7813   494da0ca        00000000000cda0c  rng
A7814   bf1b2c05        0000000000000000  rng
A7815   c4587b21        fffffffffffffc9f  rng
A7816   caa90830        ffffffffffab7be8  rng
A7817   ceac455c        ffffffffa9dd5200  rng
A7818   518d421f        000000007fffffff  +ovf
A7819   54fa2d3b        000000007fffffff  +ovf
A7820   531d3918        000000007fffffff  +ovf
A7821   cbcaee75        fffffffffe6a2316  rng
A7822   bf87cde3        ffffffffffffffff  rng
A7823   4464e7c2        0000000000000393  rng
A7824   4a53b798        000000000034ede6  rng
A7825   cea07234        ffffffffafc6e600  rng
A7826   56666033        000000007fffffff  +ovf
A7827   51cceb5e        000000007fffffff  +ovf
A7828   53007759        000000007fffffff  +ovf
A7829   cbee00d7        fffffffffe23fe52  rng
A7830   bed484c1        0000000000000000  rng
A7831   445fb9a4        000000000000037e  rng
A7832   4ac87f74        0000000000643fba  rng
A7833   4ef04386        000000007821c300  rng
A7834   52ee01c8        000000007fffffff  +ovf
A7835   55c2204e        000000007fffffff  +ovf
A7836   539073c8        000000007fffffff  +ovf
A7837   cbd766f0        fffffffffe513220  rng
A7838   bfa6fece        ffffffffffffffff  rng
A7839   c40147bb        fffffffffffffdfb  rng
A7840   4a7c6540        00000000003f1950  rng
A7841   ceedfff0        ffffffff89000800  rng
A7842   55450247        000000007fffffff  +ovf
A7843   552f3a8d        000000007fffffff  +ovf
A7844   7fc00000        0000000000000000  NaN
A7845   ca228907        ffffffffffd75dbf  rng
A7846   be871a2e        0000000000000000  rng
A7847   c4176406        fffffffffffffda3  rng
A7848   4910bcf0        0000000000090bcf  rng
A7849   ce93cace        ffffffffb61a9900  rng
A7850   55929053        000000007fffffff  +ovf
A7851   552f5be5        000000007fffffff  +ovf
A7852   54218211        000000007fffffff  +ovf
A7853   cb219fec        ffffffffff5e6014  rng
A7854   3e9d2468        0000000000000000  rng
A7855   c44cb92b        fffffffffffffcce  rng
A7856   492f13c0        00000000000af13c  rng
A7857   7f800000        000000007fffffff  Inf
A7858   54a39b75        000000007fffffff  +ovf
A7859   557037ca        000000007fffffff  +ovf
A7860   53bc5ee6        000000007fffffff  +ovf
A7861   ca40caed        ffffffffffcfcd45  rng
A7862   3dc97532        0000000000000000  rng
A7863   43913c44        0000000000000122  rng
A7864   4a4617ac        00000000003185eb  rng
A7865   ce95c04e        ffffffffb51fd900  rng
A7866   559e1821        000000007fffffff  +ovf
A7867   540ad133        000000007fffffff  +ovf
A7868   52ecac62        000000007fffffff  +ovf
A7869   4c024a99        0000000002092a64  rng
A7870   bf15b7fe        0000000000000000  rng
A7871   c29a2fe8        ffffffffffffffb3  rng
A7872   ca531244        ffffffffffcb3b6f  rng
A7873   4ee0fb9c        00000000707dce00  rng
A7874   565e6cc5        000000007fffffff  +ovf
A7875   55289e4d        000000007fffffff  +ovf
A7876   540ab2e3        000000007fffffff  +ovf
A7877   4b82b292        0000000001056524  rng
A7878   ff800000        ffffffff80000000  Inf
A7879   441a5f32        0000000000000269  rng
A7880   c9502670        fffffffffff2fd99  rng
A7881   cea4f884        ffffffffad83be00  rng
A7882   550d1cde        000000007fffffff  +ovf
A7883   55a74dba        000000007fffffff  +ovf
A7884   534ba02f        000000007fffffff  +ovf
A7885   4a435392        000000000030d4e4  rng
A7886   bf76148e        0000000000000000  rng
A7887   c43b048d        fffffffffffffd14  rng
A7888   4a36a868        00000000002daa1a  rng
A7889   cda4bcb0        ffffffffeb686a00  rng
A7890   5565dea0        000000007fffffff  +ovf
A7891   548e2b71        000000007fffffff  +ovf
A7892   52611f26        000000007fffffff  +ovf
A7893   4a9e849e        00000000004f424f  rng
A7894   3eb0fecb        0000000000000000  rng
A7895   c46746d8        fffffffffffffc63  rng
A7896   ca4d87c8        ffffffffffcc9e0e  rng
A7897   7fc00000        0000000000000000  NaN
A7898   53956208        000000007fffffff  +ovf
A7899   5592bde9        000000007fffffff  +ovf
A7900   53726ce3        000000007fffffff  +ovf
A7901   cab59faf        ffffffffffa53029  rng
A7902   bef9edb3        0000000000000000  rng
A7903   43cb1034        0000000000000196  rng
A7904   4ae5b64a        000000000072db25  rng
A7905   4eeb2c2a        0000000075961500  rng
A7906   55960cf4        000000007fffffff  +ovf
A7907   55bd4585        000000007fffffff  +ovf
A7908   53223bde        000000007fffffff  +ovf
A7909   cc414054        fffffffffcfafeb0  rng
A7910   40037335        0000000000000002  rng
A7911   c42b1fa2        fffffffffffffd54  rng
A7912   cab65fe3        ffffffffffa4d00f  rng
A7913   ce3aba46        ffffffffd1516e80  rng
A7914   5576c34a        000000007fffffff  +ovf
A7915   5401daad        000000007fffffff  +ovf
A7916   537d22f7        000000007fffffff  +ovf
A7917   cb38216d        ffffffffff47de93  rng
A7918   bf3fe902        0000000000000000  rng
A7919   44746b72        00000000000003d1  rng
A7920   4ad47fa4        00000000006a3fd2  rng
A7921   4eec4c7c        0000000076263e00  rng
A7922   55545d9e        000000007fffffff  +ovf
A7923   523dc374        000000007fffffff  +ovf
A7924   532d8be7        000000007fffffff  +ovf
A7925   cb9985e6        fffffffffeccf434  rng
A7926   3fa74885        0000000000000001  rng
A7927   42cecb90        0000000000000067  rng
A7928   c851e140        fffffffffffcb87b  rng
A7929   cea67fb6        ffffffffacc02500  rng
A7930   54fee300        000000007fffffff  +ovf
A7931   547afe8c        000000007fffffff  +ovf
A7932   526f6751        000000007fffffff  +ovf
A7933   cb2a4758        ffffffffff55b8a8  rng
A7934   be4cd74a        0000000000000000  rng
A7935   43993bd4        0000000000000132  rng
A7936   c93ba0f8        fffffffffff445f1  rng
A7937   4e384640        000000002e119000  rng
A7938   54ed4d0f        000000007fffffff  +ovf
A7939   56052f93        000000007fffffff  +ovf
A7940   52a3815d        000000007fffffff  +ovf
A7941   c9c19c6a        ffffffffffe7cc73  rng
A7942   bfa448ee        ffffffffffffffff  rng
A7943   c4627bb5        fffffffffffffc77  rng
A7944   c9ad79dc        ffffffffffea50c5  rng
A7945   cedcacc0        ffffffff91a9a000  rng
A7946   51e1154c        000000007fffffff  +ovf
A7947   565d1aca        000000007fffffff  +ovf
A7948   538aba40        000000007fffffff  +ovf
A7949   ca3306e6        ffffffffffd33e47  rng
A7950   7fc00000        0000000000000000  NaN
A7951   43b82a4c        0000000000000170  rng
A7952   4a90ea0e        0000000000487507  rng
A7953   cdbb5d10        ffffffffe8945e00  rng
A7954   7f800000        000000007fffffff  Inf
A7955   51bb3207        000000007fffffff  +ovf
A7956   5297fd1b        000000007fffffff  +ovf
A7957   cb772156        ffffffffff08deaa  rng
A7958   3fd2d126        0000000000000001  rng
A7959   c3244b90        ffffffffffffff5c  rng
A7960   4a81f05a        000000000040f82d  rng
A7961   4ef03db0        00000000781ed800  rng
A7962   5567f5e7        000000007fffffff  +ovf
A7963   54ef78c9        000000007fffffff  +ovf
A7964   5404cdce        000000007fffffff  +ovf
A7965   4b35f96b        0000000000b5f96b  rng
A7966   3b86ce84        0000000000000000  rng
A7967   c38edf9e        fffffffffffffee3  rng
A7968   ca351678        ffffffffffd2ba62  rng
A7969   4ea5d88e        0000000052ec4700  rng
A7970   560a7817        000000007fffffff  +ovf
A7971   5480c40f        000000007fffffff  +ovf
A7972   5189a213        000000007fffffff  +ovf
A7973   4b21bd4c        0000000000a1bd4c  rng
A7974   bf137369        0000000000000000  rng
A7975   44539e64        000000000000034e  rng
A7976   4a9f6a36        00000000004fb51b  rng
A7977   4e82bfd6        00000000415feb00  rng
A7978   541fb3fe        000000007fffffff  +ovf
A7979   ff800000        ffffffff80000000  Inf
A7980   53bde02b        000000007fffffff  +ovf
A7981   cb022983        ffffffffff7dd67d  rng
A7982   3f301afc        0000000000000000  rng
A7983   c1b7fe00        ffffffffffffffea  rng
A7984   4adb81da        00000000006dc0ed  rng
A7985   ce653826        ffffffffc6b1f680  rng
A7986   55b6b1be        000000007fffffff  +ovf
A7987   5662c434        000000007fffffff  +ovf
A7988   548fa4b6        000000007fffffff  +ovf
A7989   cb40d66f        ffffffffff3f2991  rng
A7990   c0b2c094        fffffffffffffffb  rng
