# SECTION A — collision-realistic float->int conversion sweep (60000 inputs)
# idx  in(hex)         scalar_out(hex16)   class
A144    4adc9cf8        00000000006e4e7c  rng
A145    ced05574        ffffffff97d54600  rng
A146    54357e45        000000007fffffff  +ovf
A147    55f7367b        000000007fffffff  +ovf
A148    52df2b50        000000007fffffff  +ovf
A149    4aeffbff        000000000077fdff  rng
A150    3eced109        0000000000000000  rng
A151    c40bb281        fffffffffffffdd2  rng
A152    c9bebab4        ffffffffffe828aa  rng
A153    cd83d960        ffffffffef84d400  rng
A154    540520a3        000000007fffffff  +ovf
A155    5302f05f        000000007fffffff  +ovf
A156    543d979b        000000007fffffff  +ovf
A157    4b717d4f        0000000000f17d4f  rng
A158    3f031335        0000000000000000  rng
A159    7fc00000        0000000000000000  NaN
A160    4aee1bc4        0000000000770de2  rng
A161    4dbcfa00        00000000179f4000  rng
A162    55be915d        000000007fffffff  +ovf
A163    56112e1f        000000007fffffff  +ovf
A164    52239ce6        000000007fffffff  +ovf
A165    cb470a89        ffffffffff38f577  rng
A166    bfbc0980        ffffffffffffffff  rng
A167    c318dd68        ffffffffffffff68  rng
A168    c9458380        fffffffffff3a7c8  rng
A169    4d7b3b00        000000000fb3b000  rng
A170    5467097f        000000007fffffff  +ovf
A171    528c7051        000000007fffffff  +ovf
A172    543c38f9        000000007fffffff  +ovf
A173    4b1cabe9        00000000009cabe9  rng
A174    c118578e        fffffffffffffff7  rng
A175    4429bd4e        00000000000002a6  rng
A176    4ad6b99e        00000000006b5ccf  rng
A177    ccaf8b80        fffffffffa83a400  rng
A178    56009228        000000007fffffff  +ovf
A179    55f2b302        000000007fffffff  +ovf
A180    52d92378        000000007fffffff  +ovf
A181    4ad0fb02        0000000000687d81  rng
A182    3f9d5f7d        0000000000000001  rng
A183    c298f490        ffffffffffffffb4  rng
A184    ca11a22a        ffffffffffdb9776  rng
A185    4ed86fd6        000000006c37eb00  rng
A186    555fad4b        000000007fffffff  +ovf
A187    54629391        000000007fffffff  +ovf
A188    55103900        000000007fffffff  +ovf
A189    4c0c03ec        0000000002300fb0  rng
A190    3ff35924        0000000000000001  rng
A191    c3a83d2c        fffffffffffffeb0  rng
A192    490c6570        000000000008c657  rng
A193    cee528e4        ffffffff8d6b8e00  rng
A194    7f800000        000000007fffffff  Inf
A195    553040a8        000000007fffffff  +ovf
A196    547288fc        000000007fffffff  +ovf
A197    cb205bb8        ffffffffff5fa448  rng
A198    be596502        0000000000000000  rng
A199    c3c5fdd0        fffffffffffffe75  rng
A200    ca15810c        ffffffffffda9fbd  rng
A201    4d0bcd10        0000000008bcd100  rng
A202    ff800000        ffffffff80000000  Inf
A203    52a54440        000000007fffffff  +ovf
A204    52af193d        000000007fffffff  +ovf
A205    4a893461        0000000000449a30  rng
A206    bf9eadf5        ffffffffffffffff  rng
A207    43d2190c        00000000000001a4  rng
A208    4a9f3d00        00000000004f9e80  rng
A209    4efca4c4        000000007e526200  rng
A210    54955e0a        000000007fffffff  +ovf
A211    54d6351f        000000007fffffff  +ovf
A212    7fc00000        0000000000000000  NaN
A213    cc01b33c        fffffffffdf93310  rng
A214    c08279e7        fffffffffffffffc  rng
A215    c432afd4        fffffffffffffd36  rng
A216    4a5f8c5c        000000000037e317  rng
A217    ceadf8cd        ffffffffa9039980  rng
A218    5661d4d9        000000007fffffff  +ovf
A219    5612dc8f        000000007fffffff  +ovf
A220    5386982e        000000007fffffff  +ovf
A221    cab6ccce        ffffffffffa49999  rng
A222    3f817376        0000000000000001  rng
A223    44609364        0000000000000382  rng
A224    4a4966e8        00000000003259ba  rng
A225    ceb1e9b8        ffffffffa70b2400  rng
A226    5584e6f0        000000007fffffff  +ovf
A227    522898fa        000000007fffffff  +ovf
A228    520fda40        000000007fffffff  +ovf
A229    caefcbe1        ffffffffff881a10  rng
A230    3e861526        0000000000000000  rng
A231    c34ba234        ffffffffffffff35  rng
A232    489bcb00        000000000004de58  rng
A233    4ee95ab4        0000000074ad5a00  rng
A234    53c696c4        000000007fffffff  +ovf
A235    5643c882        000000007fffffff  +ovf
A236    536a52f5        000000007fffffff  +ovf
A237    4a935702        000000000049ab81  rng
A238    bf17d65d        0000000000000000  rng
A239    c3b82dfa        fffffffffffffe90  rng
A240    caeb2d44        ffffffffff8a695e  rng
A241    ce29906e        ffffffffd59be480  rng
A242    55d57a93        000000007fffffff  +ovf
A243    551b2b6e        000000007fffffff  +ovf
A244    5376923d        000000007fffffff  +ovf
A245    cb4853bb        ffffffffff37ac45  rng
A246    bf97ce37        ffffffffffffffff  rng
A247    c449afaa        fffffffffffffcda  rng
A248    4a9e1b5c        00000000004f0dae  rng
A249    4e69c6f4        000000003a71bd00  rng
A250    53b01667        000000007fffffff  +ovf
A251    55257692        000000007fffffff  +ovf
A252    5302c229        000000007fffffff  +ovf
A253    4a80bf6d        0000000000405fb6  rng
A254    40422456        0000000000000003  rng
A255    c36a662c        ffffffffffffff16  rng
A256    4a95afd2        00000000004ad7e9  rng
A257    4c8e30a0        0000000004718500  rng
A258    56662881        000000007fffffff  +ovf
A259    5513c5f1        000000007fffffff  +ovf
A260    5113a399        000000007fffffff  +ovf
A261    cb1ce8bf        ffffffffff631741  rng
A262    be8090fd        0000000000000000  rng
A263    43d470ec        00000000000001a8  rng
A264    ca2153e4        ffffffffffd7ab07  rng
A265    7fc00000        0000000000000000  NaN
A266    5635e7bd        000000007fffffff  +ovf
A267    51ab7f27        000000007fffffff  +ovf
A268    53ef0fb5        000000007fffffff  +ovf
A269    ca7c7f79        ffffffffffc0e022  rng
A270    bef23c1c        0000000000000000  rng
A271    c3bf47e0        fffffffffffffe82  rng
A272    4a82d1e2        00000000004168f1  rng
A273    4eb6365c        000000005b1b2e00  rng
A274    557d01fe        000000007fffffff  +ovf
A275    55297b73        000000007fffffff  +ovf
A276    54c64d41        000000007fffffff  +ovf
A277    4c098a7d        00000000022629f4  rng
A278    c14848f2        fffffffffffffff4  rng
A279    43feda04        00000000000001fd  rng
A280    c8eed250        fffffffffff8896e  rng
A281    cf008a74        ffffffff80000000  -ovf
A282    54cef9f4        000000007fffffff  +ovf
A283    55b8ae9d        000000007fffffff  +ovf
A284    52c4b1b4        000000007fffffff  +ovf
A285    4a2739d4        000000000029ce75  rng
A286    3f0c0395        0000000000000000  rng
A287    4382506c        0000000000000104  rng
A288    4ac8e3e2        00000000006471f1  rng
A289    ce3d5678        ffffffffd0aa6200  rng
A290    541f0079        000000007fffffff  +ovf
A291    7f800000        000000007fffffff  Inf
A292    53516780        000000007fffffff  +ovf
A293    49cfa35f        000000000019f46b  rng
A294    c1e58aa0        ffffffffffffffe4  rng
A295    43e704cc        00000000000001ce  rng
A296    4aed9776        000000000076cbbb  rng
A297    ceacef0c        ffffffffa9887a00  rng
A298    56158c4a        000000007fffffff  +ovf
A299    5553b4e6        000000007fffffff  +ovf
A300    52cae3ed        000000007fffffff  +ovf
A301    4b4251e2        0000000000c251e2  rng
A302    bfafc4b6        ffffffffffffffff  rng
A303    ff800000        ffffffff80000000  Inf
A304    c9bd9554        ffffffffffe84d56  rng
A305    cefdd840        ffffffff8113e000  rng
A306    56588792        000000007fffffff  +ovf
A307    55372042        000000007fffffff  +ovf
A308    5491666f        000000007fffffff  +ovf
A309    4b0acd90        00000000008acd90  rng
A310    3f7d4696        0000000000000000  rng
A311    c42a79b4        fffffffffffffd57  rng
A312    4a08e1e4        0000000000223879  rng
A313    4e281fb4        000000002a07ed00  rng
A314    516e5cef        000000007fffffff  +ovf
A315    555ac2d6        000000007fffffff  +ovf
A316    530f8142        000000007fffffff  +ovf
A317    cb1fd280        ffffffffff602d80  rng
A318    7fc00000        0000000000000000  NaN
A319    c459e250        fffffffffffffc99  rng
A320    49d846a8        00000000001b08d5  rng
A321    cca808b0        fffffffffabfba80  rng
A322    553705e9        000000007fffffff  +ovf
A323    548e3deb        000000007fffffff  +ovf
A324    52827846        000000007fffffff  +ovf
A325    cc731b05        fffffffffc3393ec  rng
A326    3f73a2aa        0000000000000000  rng
A327    c28cb6a0        ffffffffffffffba  rng
A328    ca8cd40e        ffffffffffb995f9  rng
A329    ce95c9d4        ffffffffb51b1600  rng
A330    54178bf0        000000007fffffff  +ovf
A331    53df4ea7        000000007fffffff  +ovf
A332    51e65c5c        000000007fffffff  +ovf
A333    4a96ed23        00000000004b7691  rng
A334    41024fa8        0000000000000008  rng
A335    44429a06        000000000000030a  rng
A336    4aa557ae        000000000052abd7  rng
A337    4da53388        0000000014a67100  rng
A338    56108480        000000007fffffff  +ovf
A339    5661f2ae        000000007fffffff  +ovf
A340    55281ebd        000000007fffffff  +ovf
A341    4970c2bb        00000000000f0c2b  rng
A342    401f88d1        0000000000000002  rng
A343    c3e323c6        fffffffffffffe3a  rng
A344    c9458a30        fffffffffff3a75d  rng
A345    cdf33034        ffffffffe199f980  rng
A346    561d95f2        000000007fffffff  +ovf
A347    551376a6        000000007fffffff  +ovf
A348    53a9f646        000000007fffffff  +ovf
A349    caef1e15        ffffffffff8870f6  rng
A350    3fcce7cc        0000000000000001  rng
A351    c28a3658        ffffffffffffffbb  rng
A352    498a2158        000000000011442b  rng
A353    4d9da830        0000000013b50600  rng
A354    553fd1f6        000000007fffffff  +ovf
A355    55a87ed5        000000007fffffff  +ovf
A356    53f41fa4        000000007fffffff  +ovf
A357    4a849231        0000000000424918  rng
A358    bf0be648        0000000000000000  rng
A359    c41445aa        fffffffffffffdaf  rng
A360    490ac4e0        000000000008ac4e  rng
A361    ce0acdf2        ffffffffdd4c8380  rng
A362    565805e1        000000007fffffff  +ovf
A363    54a442ba        000000007fffffff  +ovf
A364    5252bba0        000000007fffffff  +ovf
A365    4b4bd2e3        0000000000cbd2e3  rng
A366    bf8adf78        ffffffffffffffff  rng
A367    432035c8        00000000000000a0  rng
A368    4aabf500        000000000055fa80  rng
A369    4e07e444        0000000021f91100  rng
A370    532ab061        000000007fffffff  +ovf
A371    7fc00000        0000000000000000  NaN
A372    552683f0        000000007fffffff  +ovf
A373    4bd5f3e4        0000000001abe7c8  rng
A374    3ee6287d        0000000000000000  rng
A375    c315839c        ffffffffffffff6b  rng
A376    c8e78720        fffffffffff8c3c7  rng
A377    4e03ba24        0000000020ee8900  rng
A378    520de2b2        000000007fffffff  +ovf
A379    54b9da50        000000007fffffff  +ovf
A380    528df732        000000007fffffff  +ovf
A381    4bcffb8f        00000000019ff71e  rng
A382    3e6b8667        0000000000000000  rng
A383    446b3de4        00000000000003ac  rng
A384    4aca930c        0000000000654986  rng
A385    ce20611a        ffffffffd7e7b980  rng
A386    538f9f6a        000000007fffffff  +ovf
A387    52a9b2d0        000000007fffffff  +ovf
A388    7f800000        000000007fffffff  Inf
A389    4b14a513        000000000094a513  rng
A390    3e4b56bd        0000000000000000  rng
A391    c443e880        fffffffffffffcf1  rng
A392    4ae8979e        0000000000744bcf  rng
A393    4ef3aaa2        0000000079d55100  rng
A394    5281b0dc        000000007fffffff  +ovf
A395    560b0bfc        000000007fffffff  +ovf
A396    5205103b        000000007fffffff  +ovf
A397    ca42334a        ffffffffffcf732e  rng
A398    3f4578d8        0000000000000000  rng
A399    44532d06        000000000000034c  rng
A400    ca8cb959        ffffffffffb9a354  rng
A401    ccaeebc0        fffffffffa88a200  rng
A402    5155b590        000000007fffffff  +ovf
A403    539b2d8e        000000007fffffff  +ovf
A404    ff800000        ffffffff80000000  Inf
A405    4b907967        000000000120f2ce  rng
A406    3eebc3ad        0000000000000000  rng
A407    4433f766        00000000000002cf  rng
A408    caae4724        ffffffffffa8dc6e  rng
A409    4e497bd8        00000000325ef600  rng
A410    55cc2d35        000000007fffffff  +ovf
A411    5567c74c        000000007fffffff  +ovf
A412    527f6459        000000007fffffff  +ovf
A413    cb257975        ffffffffff5a868b  rng
A414    c11454d0        fffffffffffffff7  rng
A415    441fb062        000000000000027e  rng
A416    496296a0        00000000000e296a  rng
A417    cc227200        fffffffffd763800  rng
A418    55b2bd0a        000000007fffffff  +ovf
A419    56095a67        000000007fffffff  +ovf
A420    53b881d6        000000007fffffff  +ovf
A421    4af185ee        000000000078c2f7  rng
A422    bf48567a        0000000000000000  rng
A423    4416ae86        000000000000025a  rng
A424    7fc00000        0000000000000000  NaN
A425    cdee9e5c        ffffffffe22c3480  rng
A426    5446e791        000000007fffffff  +ovf
A427    55c468c9        000000007fffffff  +ovf
A428    52f02dc3        000000007fffffff  +ovf
A429    ca7e3018        ffffffffffc073fa  rng
A430    3f4343cc        0000000000000000  rng
A431    c29a12b8        ffffffffffffffb3  rng
A432    caa4552d        ffffffffffadd56a  rng
A433    ceba02f4        ffffffffa2fe8600  rng
A434    549bdf43        000000007fffffff  +ovf
A435    54a99a95        000000007fffffff  +ovf
A436    536e8595        000000007fffffff  +ovf
A437    47cd69e0        0000000000019ad3  rng
A438    3f078c25        0000000000000000  rng
A439    c1816f80        fffffffffffffff0  rng
A440    ca98c670        ffffffffffb39cc8  rng
A441    4e86552e        00000000432a9700  rng
A442    555da546        000000007fffffff  +ovf
A443    5581c367        000000007fffffff  +ovf
A444    52ceba19        000000007fffffff  +ovf
A445    4994e9ca        0000000000129d39  rng
A446    3fd09150        0000000000000001  rng
A447    43c074d8        0000000000000180  rng
A448    493b51e0        00000000000bb51e  rng
A449    4ed5dac0        000000006aed6000  rng
A450    555b5970        000000007fffffff  +ovf
A451    55e20bd1        000000007fffffff  +ovf
A452    54940cf4        000000007fffffff  +ovf
A453    4b6842bd        0000000000e842bd  rng
A454    bf843577        ffffffffffffffff  rng
A455    43c0c9f4        0000000000000181  rng
A456    ca9ad71c        ffffffffffb29472  rng
A457    cee78b64        ffffffff8c3a4e00  rng
A458    56207889        000000007fffffff  +ovf
A459    54bb2620        000000007fffffff  +ovf
A460    535e6320        000000007fffffff  +ovf
A461    4aa266ba        000000000051335d  rng
A462    3ec780a2        0000000000000000  rng
A463    444bf640        000000000000032f  rng
A464    cadabce5        ffffffffff92a18e  rng
A465    ce276632        ffffffffd6267380  rng
A466    56359c24        000000007fffffff  +ovf
A467    5632610c        000000007fffffff  +ovf
A468    5359f0f0        000000007fffffff  +ovf
A469    cb470d19        ffffffffff38f2e7  rng
A470    bfc38b55        ffffffffffffffff  rng
A471    4462ab06        000000000000038a  rng
A472    cabbc139        ffffffffffa21f64  rng
A473    4d4b7dc0        000000000cb7dc00  rng
A474    560c79e2        000000007fffffff  +ovf
A475    55f38797        000000007fffffff  +ovf
A476    52ccee40        000000007fffffff  +ovf
A477    7fc00000        0000000000000000  NaN
A478    3f2e4218        0000000000000000  rng
A479    4460fbe0        0000000000000383  rng
A480    c9dfe824        ffffffffffe402fc  rng
A481    ced8ea99        ffffffff938ab380  rng
A482    5418b448        000000007fffffff  +ovf
A483    556ae13e        000000007fffffff  +ovf
A484    530d2647        000000007fffffff  +ovf
A485    7f800000        000000007fffffff  Inf
A486    406ecc19        0000000000000003  rng
A487    c44d21bf        fffffffffffffccc  rng
A488    c92a74f8        fffffffffff558b1  rng
A489    cd81feac        ffffffffefc02a80  rng
A490    53f9c6a0        000000007fffffff  +ovf
A491    528dae22        000000007fffffff  +ovf
A492    54217cbd        000000007fffffff  +ovf
A493    cd08d736        fffffffff7728ca0  rng
A494    be199905        0000000000000000  rng
A495    c34e8414        ffffffffffffff32  rng
A496    48191700        000000000002645c  rng
A497    cdf311ec        ffffffffe19dc280  rng
A498    553ec67a        000000007fffffff  +ovf
A499    543121b5        000000007fffffff  +ovf
A500    53833a5c        000000007fffffff  +ovf
A501    4c4dbb9c        000000000336ee70  rng
A502    bf1ba0fd        0000000000000000  rng
A503    c41f80fe        fffffffffffffd82  rng
