# x86 (our HEAD) menu SPR3 dump, window=2400x1080 (20:9), aspect-ratio-scale should be ~1.6666
#
# Capture details (honest):
#   - gk built from HEAD rev c825283c2 (window title 'OpenGOAL - Jak 1 - c825283c2')
#   - X11 window measured 1920x1080 (monitor-bound borderless, display_mode=2);
#     the 2400x1080 comes from pc-settings.gc (window-size 2400 1080) + (aspect-state aspect4x3 20 9),
#     which drives aspect-ratio-scale=1.6666 (gold baseline confirmed arscale=1.6666 on this same monitor).
#   - aspect 20:9 also forced over goalc listener: (set-aspect! *pc-settings* 20 9)
#   - menu opened via single REAL START tap (xfocus_tap key 28); SDL_VIDEODRIVER=x11 so input reaches the window.
#   - menu-open VERIFIED over listener: *progress-process*=#t, in-out-position=0 (settled main progress menu),
#     SPR3-AUX npart=34 nicon=6 (matches gold baseline draw list).
#   - field key: px=position.x (GS units), sx=x-scale, mtx=HUD matrix idx, uhx=per-sprite hud user-hvdf X offset,
#     tbp=texture id (menu element), flag=sprite flag.
#
# ===== MENU-PERIOD mode=2 (HUD) sprites, deduped (sort -u) — static menu textures =====
# (animated title-attract particle idx=24/mtx=17 excluded; it has per-frame px/py jitter, not a menu texture)
GK-SPR3 mode=2 idx=25 px=-282.59 py=616.22 pz=-358.33 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-286.55 py=351.76 pz=445.46 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=298.61 py=-436.69 pz=413.12 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=311.98 py=281.88 pz=-438.45 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=314.27 py=-476.21 pz=385.44 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-331.74 py=628.77 pz=-294.42 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-333.56 py=399.37 pz=390.22 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=334.42 py=-548.73 pz=333.59 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=340.03 py=-580.94 pz=310.26 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=346.30 py=-597.06 pz=292.48 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
