== ANALYSIS ==
-- distinct st= tags seen --
    397 st=
-- EGRAB / EGRAB-OFF / EGRAB-JUMP lines --
  edge-grab line count = 0
-- launch lines (|tv| > 150000) --
06-27 07:37:23.816 I/GK_STDOUT(24647): GLEDGE f=2016 st=other tr=-5232720.0,8373.9,4081885.2 tv=0.0,-151550.7,0.0 |tv|=151550.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.833 I/GK_STDOUT(24647): GLEDGE f=2017 st=other tr=-5232720.0,5779.7,4081885.2 tv=0.0,-155646.7,0.0 |tv|=155646.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.849 I/GK_STDOUT(24647): GLEDGE f=2018 st=other tr=-5232720.0,3117.4,4081885.2 tv=0.0,-159742.7,0.0 |tv|=159742.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.887 I/GK_STDOUT(24647): GLEDGE f=2019 st=other tr=-5232720.0,386.7,4081885.2 tv=0.0,-163838.7,0.0 |tv|=163838.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.899 I/GK_STDOUT(24647): GLEDGE f=2020 st=other tr=-5232720.0,-7805.3,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.906 I/GK_STDOUT(24647): GLEDGE f=2021 st=other tr=-5232720.0,-10535.9,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.919 I/GK_STDOUT(24647): GLEDGE f=2022 st=other tr=-5232720.0,-13266.6,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.938 I/GK_STDOUT(24647): GLEDGE f=2023 st=other tr=-5232720.0,-15997.3,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.956 I/GK_STDOUT(24647): GLEDGE f=2024 st=other tr=-5232720.0,-18727.9,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.971 I/GK_STDOUT(24647): GLEDGE f=2025 st=other tr=-5232720.0,-21458.6,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:23.985 I/GK_STDOUT(24647): GLEDGE f=2026 st=other tr=-5232720.0,-24189.3,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.002 I/GK_STDOUT(24647): GLEDGE f=2027 st=other tr=-5232720.0,-26919.9,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.021 I/GK_STDOUT(24647): GLEDGE f=2028 st=other tr=-5232720.0,-29650.6,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.034 I/GK_STDOUT(24647): GLEDGE f=2029 st=other tr=-5232720.0,-32381.3,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.053 I/GK_STDOUT(24647): GLEDGE f=2030 st=other tr=-5232720.0,-35111.9,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.087 I/GK_STDOUT(24647): GLEDGE f=2031 st=other tr=-5232720.0,-37842.6,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.112 I/GK_STDOUT(24647): GLEDGE f=2032 st=other tr=-5232720.0,-46034.6,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.126 I/GK_STDOUT(24647): GLEDGE f=2033 st=other tr=-5232720.0,-48765.3,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.135 I/GK_STDOUT(24647): GLEDGE f=2034 st=other tr=-5232720.0,-51496.0,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.152 I/GK_STDOUT(24647): GLEDGE f=2035 st=other tr=-5232720.0,-54226.6,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.161 I/GK_STDOUT(24647): GLEDGE f=2036 st=other tr=-5232720.0,-56957.3,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.170 I/GK_STDOUT(24647): GLEDGE f=2037 st=other tr=-5232720.0,-59688.0,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
