== ANALYSIS ==
-- distinct st= tags seen --
    225 st=
-- EGRAB / EGRAB-OFF / EGRAB-JUMP lines --
  edge-grab line count = 0
-- launch lines (|tv| > 150000) --
06-27 07:24:55.829 I/GK_STDOUT(21584): GLEDGE f=5622 st=other tr=-5076796.0,-54368.6,4145208.2 tv=36821.0,-163840.0,-11983.6 |tv|=168353.6 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.847 I/GK_STDOUT(21584): GLEDGE f=5623 st=other tr=-5076179.0,-57099.2,4145020.8 tv=37028.8,-163840.0,-11244.2 |tv|=168348.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.863 I/GK_STDOUT(21584): GLEDGE f=5624 st=other tr=-5075558.5,-59829.9,4144845.8 tv=37218.7,-163840.0,-10500.1 |tv|=168342.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.880 I/GK_STDOUT(21584): GLEDGE f=5625 st=other tr=-5074935.5,-62560.6,4144683.2 tv=37390.8,-163840.0,-9751.6 |tv|=168335.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.896 I/GK_STDOUT(21584): GLEDGE f=5626 st=other tr=-5074309.5,-65291.2,4144533.2 tv=37545.7,-163840.0,-8999.4 |tv|=168327.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.913 I/GK_STDOUT(21584): GLEDGE f=5627 st=other tr=-5073681.5,-68021.9,4144395.8 tv=37683.9,-163840.0,-8243.9 |tv|=168319.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.946 I/GK_STDOUT(21584): GLEDGE f=5628 st=other tr=-5073051.5,-70752.6,4144271.0 tv=37806.5,-163840.0,-7485.8 |tv|=168312.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.951 I/GK_STDOUT(21584): GLEDGE f=5629 st=other tr=-5071786.0,-76213.9,4144059.5 tv=38022.9,-163840.0,-5965.1 |tv|=168299.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.964 I/GK_STDOUT(21584): GLEDGE f=5630 st=other tr=-5071151.0,-78944.6,4143972.8 tv=38100.7,-163840.0,-5201.0 |tv|=168292.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.978 I/GK_STDOUT(21584): GLEDGE f=5631 st=other tr=-5070515.0,-81675.2,4143898.8 tv=38170.0,-163840.0,-4436.2 |tv|=168286.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.994 I/GK_STDOUT(21584): GLEDGE f=5632 st=other tr=-5069942.5,-84405.9,4143832.2 tv=34353.0,-163840.0,-3992.5 |tv|=167450.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.012 I/GK_STDOUT(21584): GLEDGE f=5633 st=other tr=-5069427.0,-87136.6,4143772.2 tv=30917.7,-163840.0,-3593.3 |tv|=166770.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.029 I/GK_STDOUT(21584): GLEDGE f=5634 st=other tr=-5068902.0,-89867.2,4143720.8 tv=31500.8,-163840.0,-3093.5 |tv|=166869.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.048 I/GK_STDOUT(21584): GLEDGE f=5635 st=other tr=-5068367.5,-92597.9,4143677.8 tv=32072.7,-163840.0,-2580.8 |tv|=166969.6 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.063 I/GK_STDOUT(21584): GLEDGE f=5636 st=other tr=-5067823.5,-95328.5,4143643.5 tv=32632.4,-163840.0,-2054.9 |tv|=167070.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.078 I/GK_STDOUT(21584): GLEDGE f=5637 st=other tr=-5067270.5,-98059.2,4143618.2 tv=33178.1,-163840.0,-1514.6 |tv|=167172.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.097 I/GK_STDOUT(21584): GLEDGE f=5638 st=other tr=-5066708.5,-100789.9,4143602.2 tv=33707.1,-163840.0,-957.8 |tv|=167274.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.112 I/GK_STDOUT(21584): GLEDGE f=5639 st=other tr=-5066138.0,-103520.5,4143596.0 tv=34215.8,-163840.0,-382.4 |tv|=167375.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.128 I/GK_STDOUT(21584): GLEDGE f=5640 st=other tr=-5065559.5,-106251.2,4143599.5 tv=34700.5,-163840.0,213.3 |tv|=167474.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.146 I/GK_STDOUT(21584): GLEDGE f=5641 st=other tr=-5064973.5,-108981.9,4143613.2 tv=35157.6,-163840.0,830.4 |tv|=167571.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.163 I/GK_STDOUT(21584): GLEDGE f=5642 st=other tr=-5064380.5,-111712.5,4143637.8 tv=35585.3,-163840.0,1468.3 |tv|=167666.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.179 I/GK_STDOUT(21584): GLEDGE f=5643 st=other tr=-5063781.0,-114443.2,4143673.2 tv=35982.2,-163840.0,2125.9 |tv|=167758.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.197 I/GK_STDOUT(21584): GLEDGE f=5644 st=other tr=-5063175.0,-117173.9,4143720.0 tv=36346.9,-163840.0,2801.8 |tv|=167846.6 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.212 I/GK_STDOUT(21584): GLEDGE f=5645 st=other tr=-5062563.5,-119904.5,4143778.2 tv=36678.6,-163840.0,3494.4 |tv|=167931.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.229 I/GK_STDOUT(21584): GLEDGE f=5646 st=other tr=-5061947.0,-122635.2,4143848.2 tv=36977.0,-163840.0,4202.1 |tv|=168013.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.247 I/GK_STDOUT(21584): GLEDGE f=5647 st=other tr=-5061326.5,-125365.9,4143930.2 tv=37240.6,-163840.0,4923.4 |tv|=168091.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.263 I/GK_STDOUT(21584): GLEDGE f=5648 st=other tr=-5060702.0,-128096.5,4144024.5 tv=37466.5,-163840.0,5657.4 |tv|=168164.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.278 I/GK_STDOUT(21584): GLEDGE f=5649 st=other tr=-5060074.5,-130827.2,4144131.2 tv=37651.3,-163840.0,6402.9 |tv|=168232.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.297 I/GK_STDOUT(21584): GLEDGE f=5650 st=other tr=-5059444.5,-133557.8,4144250.5 tv=37786.9,-163840.0,7158.8 |tv|=168293.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.312 I/GK_STDOUT(21584): GLEDGE f=5651 st=other tr=-5058813.5,-136288.5,4144382.5 tv=37860.1,-163840.0,7923.3 |tv|=168344.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.329 I/GK_STDOUT(21584): GLEDGE f=5652 st=other tr=-5058183.0,-139019.2,4144524.8 tv=37843.5,-163840.0,8540.8 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.348 I/GK_STDOUT(21584): GLEDGE f=5653 st=other tr=-5057553.0,-141749.9,4144671.0 tv=37790.0,-163840.0,8774.4 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.364 I/GK_STDOUT(21584): GLEDGE f=5654 st=other tr=-5056924.0,-144480.5,4144821.2 tv=37733.9,-163840.0,9012.6 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.378 I/GK_STDOUT(21584): GLEDGE f=5655 st=other tr=-5056296.0,-147211.2,4144975.5 tv=37676.8,-163840.0,9248.6 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.397 I/GK_STDOUT(21584): GLEDGE f=5656 st=other tr=-5055669.0,-149941.9,4145133.5 tv=37618.6,-163840.0,9482.5 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.413 I/GK_STDOUT(21584): GLEDGE f=5657 st=other tr=-5055043.0,-152672.5,4145295.5 tv=37559.4,-163840.0,9714.2 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.429 I/GK_STDOUT(21584): GLEDGE f=5658 st=other tr=-5054418.0,-155403.2,4145461.2 tv=37500.6,-163840.0,9938.9 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.448 I/GK_STDOUT(21584): GLEDGE f=5659 st=other tr=-5053794.0,-158133.9,4145630.8 tv=37440.6,-163840.0,10162.7 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.465 I/GK_STDOUT(21584): GLEDGE f=5660 st=other tr=-5053171.0,-160864.6,4145803.8 tv=37379.5,-163840.0,10385.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.479 I/GK_STDOUT(21584): GLEDGE f=5661 st=other tr=-5052549.0,-163595.2,4145980.5 tv=37317.4,-163840.0,10606.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.497 I/GK_STDOUT(21584): GLEDGE f=5662 st=other tr=-5051928.0,-166325.9,4146161.0 tv=37253.9,-163840.0,10826.8 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.513 I/GK_STDOUT(21584): GLEDGE f=5663 st=other tr=-5051308.0,-169056.6,4146345.0 tv=37189.2,-163840.0,11047.0 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.529 I/GK_STDOUT(21584): GLEDGE f=5664 st=other tr=-5050689.5,-171787.2,4146532.8 tv=37123.5,-163840.0,11266.0 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.548 I/GK_STDOUT(21584): GLEDGE f=5665 st=other tr=-5050072.0,-174517.9,4146724.0 tv=37058.6,-163840.0,11477.5 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.564 I/GK_STDOUT(21584): GLEDGE f=5666 st=other tr=-5049455.5,-177248.6,4146918.8 tv=36992.5,-163840.0,11689.0 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.579 I/GK_STDOUT(21584): GLEDGE f=5667 st=other tr=-5048840.0,-179979.3,4147117.0 tv=36925.1,-163840.0,11900.0 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.598 I/GK_STDOUT(21584): GLEDGE f=5668 st=other tr=-5048225.5,-182709.9,4147318.8 tv=36856.8,-163840.0,12110.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.613 I/GK_STDOUT(21584): GLEDGE f=5669 st=other tr=-5047612.5,-185440.6,4147524.0 tv=36789.0,-163840.0,12314.3 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.630 I/GK_STDOUT(21584): GLEDGE f=5670 st=other tr=-5047000.5,-188171.3,4147732.8 tv=36720.1,-163840.0,12518.3 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.648 I/GK_STDOUT(21584): GLEDGE f=5671 st=other tr=-5046389.5,-190902.0,4147944.8 tv=36650.2,-163840.0,12721.6 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
