ACTOR proc=windspinner-8 type=windspinner samples=1 trans=0 max_disp=0 states=windspinner-idle
ACTOR proc=windmill-sail-4 type=windmill-sail samples=1 trans=0 max_disp=0 states=windmill-sail-idle
ACTOR proc=reflector-end-1 type=reflector-end samples=1 trans=0 max_disp=0 states=reflector-end-idle
ACTOR proc=ropebridge-5 type=ropebridge samples=1 trans=0 max_disp=0 states=ropebridge-idle
ACTOR proc=ropebridge-4 type=ropebridge samples=1 trans=0 max_disp=0 states=ropebridge-idle
ACTOR proc=water-vol-10 type=water-vol samples=1 trans=0 max_disp=0 states=water-vol-idle
ACTOR proc=water-vol-8 type=water-vol samples=1 trans=0 max_disp=0 states=water-vol-idle
ACTOR proc=water-vol-7 type=water-vol samples=1 trans=0 max_disp=0 states=water-vol-idle
ACTOR proc=jungle-water-1 type=jungle-water samples=17 trans=0 max_disp=0 states=water-vol-idle
ACTOR proc=money-4159 type=money samples=17 trans=0 max_disp=0 states=wait
ACTOR proc=money-4157 type=money samples=17 trans=0 max_disp=0 states=wait
ACTOR proc=money-4156 type=money samples=17 trans=0 max_disp=0 states=wait
ACTOR proc=money-4155 type=money samples=17 trans=0 max_disp=0 states=wait
TRIGGER springbox min_disp=0 -> MISS (best proc=- disp=0 states=0 trans=0)
VERDICT fired=0/1
